Header:Id,Registration plate,Email,Balance,Valute
401,SI002HV,maramirkovic@gmail.com,4562,RSD
402,BG123EC,milanmanojlovic@gmail.com,133,EUR
403,SI017ZN,milemilic@gmail.com,1400,RSD
404,NS007DG,nikolinaninic@gmail.com,5230,RSD
405,BG224GG,urosdedic@gmail.com,32,EUR
406,KG112WR,jovankrasnic@gmail.com,2240,RSD
407,SI016WA,bojanjovanovic@gmail.com,3310,RSD
408,BG116MN,anamaric@gmail.com,1833,RSD
409,NS133IG,milossalajic@gmail.com,6730,RSD
410,SI022BD,vanjavanjic@gmail.com,75,EUR
411,SI026WN,mikimikilic@gmail.com,4555,RSD
